"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227685","221548","5884","253"
"12","Nashik","474362","465051","8912","399"
"13","Ahmednagar","378347","370822","7244","281"
"14","Jalgaon","149837","146998","2762","77"
"15","Nandurbar","46679","45685","963","31"
"16","Dhule","50961","50193","670","98"
"17","Aurangabad","177396","172719","4288","389"
"18","Jalna","66805","65227","1224","354"
"19","Beed","109325","106398","2885","42"
"20","Latur","105275","102655","2489","131"
"21","Parbhani","58624","57335","1279","10"
"22","Hingoli","22245","21703","514","28"
"23","Nanded","102820","100084","2704","32"
"24","Osmanabad","75480","73211","2139","130"
"25","Amravati","106180","104481","1624","75"
"26","Akola","66498","64895","1470","133"
"27","Washim","46382","45449","641","292"
"28","Buldhana","92293","91288","836","169"
"29","Yavatmal","82182","80279","1820","83"
"30","Nagpur","578757","568771","9215","771"
"31","Wardha","65826","64361","1408","57"
"32","Bhandara","68231","66997","1142","92"
"33","Gondia","45491","44889","587","15"
"34","Chandrapur","99105","97424","1592","89"
