"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2641","113117","2415","109904","32","3011","202"
"2","SAS Nagar","4622","100311","4202","98735","18","1166","410"
"3","Jalandhar","2361","80626","2073","78411","19","1959","256"
"4","Patiala","1838","63918","1670","62053","8","1719","146"
"5","Amritsar","1090","60645","966","58674","5","1845","126"
"6","Bathinda","1222","52089","1089","50532","2","1425","132"
"7","Hoshiarpur","1034","42143","890","40622","12","1412","109"
"8","Gurdaspur","292","27219","252","26325","3","867","27"
"9","Pathankot","443","24945","380","24395","4","521","29"
"10","Fazilka","307","23739","304","23107","0","621","11"
"11","Muktsar","197","22749","171","22181","1","540","28"
"12","Kapurthala","449","22478","393","21835","4","596","47"
"13","Ropar","875","18813","776","18259","4","459","95"
"14","Ferozepur","389","18282","346","17706","3","540","36"
"15","Mansa","169","17394","162","16998","1","393","3"
"16","Faridkot","325","17160","310","16731","3","413","16"
"17","Sangrur","252","14686","240","13813","5","865","8"
"18","SBS Nagar","371","13773","339","13327","0","409","37"
"19","FG Sahib","592","12507","548","12028","1","437","42"
"20","Moga","190","11189","153","10884","3","269","36"
"21","Tarn Taran","111","11011","86","10591","1","399","21"
"22","Barnala","167","7667","154","7292","4","361","14"
"23","Malerkotla","54","4057","47","3838","3","214","5"
"","Total","19991","780518","17966","758241","136","20441","1836"
