"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","81","58","496"
"Kollam","18","18","118"
"Pathanamthitta","29","0","120"
"Alappuzha","22","17","125"
"Kottayam","44","70","485"
"Idukki","15","42","200"
"Ernakulam","95","113","841"
"Thrissur","34","51","152"
"Palakkad","10","3","50"
"Malappuram","15","15","136"
"Kozhikode","32","44","190"
"Wayanad","8","11","79"
"Kannur","13","12","34"
"Kasaragod","2","0","25"
"Total","418","454","3051"
