"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 23-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","497","1502","280685","278176[445]","99.11","1007","164","591","3234","5428405"
"2","Faridabad","181","808","131373","129824[102]","98.82","741","95","364","1425","4073996"
"3  Hisar","","29","87","62320","61058[16]","97.97","1175","26","119","198","2361603"
"4","Sonipat","6","28","58838","58534[13]","99.48","276","52","505","291","2299035"
"5","Karnal","16","85","48378","47697[6]","98.59","596","37","269","539","2400604"
"6","Panchkula","39","169","44808","44224[36]","98.70","415","35","151","556","1135445"
"7","Ambala","26","68","40922","40312[3]","98.51","542","67","431","1239","2151543"
"8","Panipat","8","40","36168","35456[2]","98.03","672","143","482","645","2067255"
"9","Sirsa","13","22","33468","32907[1]","98.32","539","49","358","205","1946544"
"10  Rohtak","","15","69","32115","31492[13]","98.06","537","70","1894","1076","1731400"
"","11  Yamunanagar","2","12","30723","30256","98.48","455","44","583","395","1974393"
"12  Kurukshetra","","3","33","26922","26491[5]","98.40","398","71","619","487","1565575"
"13  Bhiwani","","1","22","26592","25905[4]","97.42","665","49","979","794","1796568"
"","14  Mahendragarh","2","8","24762","24589","99.30","165","97","544","1224","1398382"
"15  Rewari","","8","13","24697","24460[6]","99.04","224","15","85","548","1585274"
"16","Jind","9","31","24417","23844[5]","97.65","542","163","666","476","1729698"
"17","Jhajjar","8","18","23577","23203[4]","98.41","350","75","480","1200","1589672"
"18  Fatehabad","","3","10","20098","19590[2]","97.47","498","16","112","205","1196081"
"19  Kaithal","","4","24","14299","13904[7]","97.24","371","46","615","911","1787415"
"20  Palwal","","2","9","13523","13344[1]","98.68","170","43","166","317","1542360"
"","21  Charkhi Dadri","0","3","7482","7334","98.02","145","27","26","556","908685"
"22  Nuh","","0","1","6126","5986","97.71","139","1","1","13","1222644"
"Haryana","","872","3062","1012293","998586[671]","98.65","10622","1385","10040","16534","43892577"
