"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
29-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","151","182516","181088[27]","99.22","926","502","5613","11885","4236272"
"2","Faridabad","30","100126","99311[4]","99.19","717","98","5615","13700","3090811"
"3","Hisar","0","54006","52865","97.89","1137","4","11706","22927","1796224"
"4","Sonepat","3","47154","46892","99.44","254","8","5701","12200","1765033"
"5","Karnal","3","40084","39509[1]","98.57","554","21","5910","15673","1855796"
"6","Panipat","1","31170","30520[2]","97.91","638","12","7602","15266","1543432"
"7","Panchkula","7","30957","30517[3]","98.58","381","59","1909","4426","879366"
"8","Ambala","7","30202","29646","98.16","509","47","2113","3763","1786733"
"9","Sirsa","0","29306","28793","98.25","509","4","11001","18799","1561083"
"10","Rohtak","1","25927","25372","97.86","534","4","4904","6533","1271913"
"11","Yamunanagar","6","24679","24246[2]","98.25","414","19","2261","10581","1436088"
"12","Bhiwani","0","22413","21759","97.08","652","2","2113","6300","1436845"
"13","Kurukshetra","6","22179","21807[2]","98.32","358","14","4404","9657","1123914"
"14","Mahindergarh","0","21689","21534","99.29","155","0","2837","7962","1088088"
"15","Jind","1","21211","20677","97.48","533","1","6640","9704","1318571"
"16","Rewari","0","20330","20109","98.91","221","0","3033","8195","1263707"
"17","Jhajjar","0","18855","18517","98.21","328","4","3591","7839","1245421"
"18","Fatehabad","0","17880","17398","97.30","482","0","4110","12383","966377"
"19","Kaithal","0","11252","10904","96.91","346","2","12465","9969","1324625"
"20","Palwal","0","11031","10877","98.60","153","1","2512","7523","1146427"
"21","Charkhi Dadri","1","5080","4940","97.24","139","1","735","1347","711179"
"22","Nuh","0","5014","4891","97.55","123","0","2071","6845","848794"
"Haryana","","217","773061","762172[41]","98.59","10063","803","108846","223477","33696699"
