,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316684,14730,2304873,33498966
1,Anakapalli,0,0,0,0,2316684,14730,2304873,33498966
2,Anantapur,177611,0,0,0,2316684,14730,2304873,33498966
3,Annamayya,0,0,0,0,2316684,14730,2304873,33498966
4,Bapatla,0,0,0,0,2316684,14730,2304873,33498966
5,Chittoor,272394,0,0,0,2316684,14730,2304873,33498966
6,East Godavari,316586,0,0,0,2316684,14730,2304873,33498966
7,Eluru,0,0,0,0,2316684,14730,2304873,33498966
8,Guntur,203244,0,0,0,2316684,14730,2304873,33498966
9,Kakinada,1,0,0,0,2316684,14730,2304873,33498966
10,Konaseema,0,0,0,0,2316684,14730,2304873,33498966
11,Krishna,136896,0,0,0,2316684,14730,2304873,33498966
12,Kurnool,144244,0,0,0,2316684,14730,2304873,33498966
13,Nandyal,0,0,0,0,2316684,14730,2304873,33498966
14,NTR District,0,0,0,0,2316684,14730,2304873,33498966
15,Palnadu,0,0,0,0,2316684,14730,2304873,33498966
16,Parvathipuram Manyam,0,0,0,0,2316684,14730,2304873,33498966
17,Prakasam,155937,0,0,0,2316684,14730,2304873,33498966
18,S.P.S. Nellore,164374,0,0,0,2316684,14730,2304873,33498966
19,Sri Sathya Sai,0,0,0,0,2316684,14730,2304873,33498966
20,Srikakulam,133952,0,0,0,2316684,14730,2304873,33498966
21,Tirupati,0,0,0,0,2316684,14730,2304873,33498966
22,Visakhapatnam,190938,0,0,0,2316684,14730,2304873,33498966
23,Vizianagaram,92241,0,0,0,2316684,14730,2304873,33498966
24,West Godavari,193378,0,0,0,2316684,14730,2304873,33498966
25,Y.S.R. Kadapa,134888,0,0,0,2316684,14730,2304873,33498966
