,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,991264,347616,353285,290363,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340670,2325937,14733,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,110957042,44704315,47578767,18673960,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,1,0,1,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67035,66730,296,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,1924584,961348,821819,141417,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855225,842877,12314,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,157288617,73485299,67912189,15891129,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,1,0,22,23,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100683,99494,1185,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,2291238,1185674,991046,114518,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187652,1173421,14189,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,49167799,21267781,20343746,7556272,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,2,0,2,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,1579870,782350,636961,160559,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040696,2014005,26661,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,37407708,18297258,15717201,3393249,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,4,5,1,10,0,0,0,,,1332900000,Delhi,19814000
9,Goa,263195,259111,4014,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,2874475,1440045,1295735,138695,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,1291315,1280172,11079,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,128104175,54398140,54032411,19673624,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,4,6,0,10,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,1078841,1068049,10754,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,45545896,23681554,19849101,2015241,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322750,318444,4239,2023-06-05,TT,44991380,531878,44456000,2023-06-10 05:32:59.608862,930616260,2023-06-01 00:00:00,0,2206698186,1027409648,951976705,227311833,15325484,6646550,6328308,2350626,https://www.icmr.gov.in/,0,0,0,11289,149,713,12151,0,0,0,0,0,0,0,,,1332900000,Himachal Pradesh,7300000
