"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","2771","1106449","5","19599"
"2","Thane","110","119248","0","2289"
"3","TMC","507","196017","0","2165"
"4","Navi Mumbai","476","173296","0","2090"
"5","KDMC","139","177847","0","2974"
