"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"25","Amravati","106027","104378","1624","25"
"26","Akola","66287","64794","1470","23"
"27","Washim","45771","45054","641","76"
"28","Buldhana","92091","91203","836","52"
"29","Yavatmal","82038","80174","1820","44"
"30","Nagpur","577429","567888","9215","326"
"31","Wardha","65741","64309","1408","24"
"32","Bhandara","68032","66861","1142","29"
"33","Gondia","45452","44856","587","9"
"34","Chandrapur","98961","97327","1592","42"
"35","Gadchiroli","37064","36300","726","38"
"","Other states/country","144","31","113","0"
"","Total","7962666","7790153","147905","24608"
