"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87628","19","85502","2107"
"2","SAS Nagar","68864","43","67752","1069"
"3","Jalandhar","63424","36","61892","1496"
"4","Patiala","48938","10","47570","1358"
"5","Amritsar","47402","11","45793","1598"
"6","Bathinda","41744","17","40685","1042"
"7","Hoshiarpur","30841","14","29841","986"
"8","Gurdaspur","22386","5","21580","801"
"9","Fazilka","20277","5","19743","529"
"10","Pathankot","18836","20","18393","423"
"11","Muktsar","18785","2","18259","524"
"12","Kapurthala","17855","4","17295","556"
"13","Sangrur","15768","5","14888","875"
"14","Mansa","15607","1","15226","380"
"15","Ferozepur","14357","13","13840","504"
"16","Faridkot","13930","3","13612","315"
"17","Ropar","12972","10","12538","424"
"18","SBS Nagar","11472","2","11082","388"
"19","FG Sahib","8883","7","8541","335"
"20","Moga","8677","0","8444","233"
"21","Tarn Taran","8049","6","7663","380"
"22","Barnala","5952","9","5699","244"
"","Total","602647","242","585838","16567"
