"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,222"
"2","Number of persons tested positive today in Tamil Nadu","1,458"
"","Passengers returned from other countries  by 
International airport tested positive today","Indonesia-1 
Kuwait-1"
"","Passengers returned from other states  by Road tested 
positive today","Karnataka-1"
"","Total","1,461"
"3","Total Number of persons tested positive till date","34,69,805"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,971/ 
6,70,69,035@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,739/ 
6,58,89,511"
"6","No. of Male / Female / Transgender tested positive today","746/715/0"
"7","No. of Male / Female / Transgender tested positive till date","20,24,202/14,45,565/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","697/ 
34,23,557"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
