"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,05,892"
"2","Number of persons tested positive today in Tamil Nadu","5,098"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE – 2 
Sri Lanka – 2 
Saudi Arabia - 2"
"","Total","5,104"
"3","Total Number of persons tested positive till date","34,15,986"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,18,782/ 
6,26,43,799@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,11,773/ 
6,15,14,687"
"6","No. of Male / Female / Transgender tested positive today","3,022/2,082/0"
"7","No. of Male / Female / Transgender tested positive till date","19,93,502/14,22,446/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","21,027/ 
32,72,322"
"10","Total number of deaths today/ till date","13(7 Private &  
6 Govt) /37,772"
