"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District  Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","6","1","6","0","1900","1880","14"
"East Jaintia Hills","2","0","0","0","2441","2407","32"
"East Khasi Hills","247","26","24","0","41643","40398","998"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","8","0","0","0","9727","9629","90"
"South Garo Hills","0","0","0","0","1217","1205","12"
"South West  Garo Hills","0","0","0","0","1873","1855","18"
"South West  Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","11","2","6","0","9077","8993","73"
"West Jaintia Hills","10","1","0","0","6820","6675","135"
"West Khasi Hills","17","0","1","0","5512","5421","74"
"Total","301","30","37","0","84444","82672","1471"
