"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
27-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","61","182289","181046[13]","99.32","926","317","4552","10845","4200397"
"2","Faridabad","8","100074","99300","99.23","717","57","4784","12037","3052941"
"3","Hisar","0","54005","52865","97.89","1137","3","8155","17967","1728476"
"4","Sonepat","2","47150","46892[1]","99.45","254","4","4285","11240","1729469"
"5","Karnal","1","40077","39502[2]","98.57","554","21","6369","16147","1809471"
"6","Panipat","1","31167","30518","97.92","638","11","5044","11502","1497494"
"7","Panchkula","2","30944","30512[4]","98.60","381","51","1808","4261","866560"
"8","Ambala","3","30183","29646","98.22","509","28","2278","3813","1773236"
"9","Sirsa","0","29306","28791","98.24","509","6","9384","18357","1501846"
"10","Rohtak","2","25926","25371","97.86","534","4","4818","7990","1247417"
"11","Yamunanagar","2","24672","24244","98.27","414","14","2151","11339","1409550"
"12","Bhiwani","0","22413","21759[1]","97.08","652","2","2103","7579","1417730"
"13","Kurukshetra","0","22172","21805","98.34","357","10","3494","9481","1095029"
"14","Mahindergarh","0","21689","21534","99.29","155","0","3058","9297","1066070"
"15","Jind","0","21210","20677","97.49","533","0","4969","8655","1285377"
"16","Rewari","0","20330","20109","98.91","221","0","2754","8108","1241116"
"17","Jhajjar","2","18855","18516","98.20","328","5","2629","7183","1221118"
"18","Fatehabad","0","17880","17398","97.30","482","0","1874","6842","936705"
"19","Kaithal","1","11252","10904","96.91","346","2","7500","11128","1275568"
"20","Palwal","0","11031","10877","98.60","153","1","2468","7129","1126232"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","827","1435","706817"
"22","Nuh","0","5014","4891","97.55","123","0","1709","5026","830901"
"Haryana","","85","772718","762097[21]","98.63","10062","536","87013","207361","33019520"
