,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,Andaman and Nicobar Islands,10751,10622,129,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
1,Andhra Pradesh,2339108,2324365,14733,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
2,Arunachal Pradesh,66891,66595,296,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
3,Assam,746101,738065,8035,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
4,Bihar,851432,839124,12303,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
5,Chandigarh,99394,98191,1182,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
6,Chhattisgarh,1177812,1163658,14146,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
8,Delhi,2008004,1981272,26523,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
9,Goa,259297,255175,4013,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
10,Gujarat,1278834,1266977,11047,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
11,Haryana,1056889,1046085,10714,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
12,Himachal Pradesh,313015,308632,4215,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
13,Jammu and Kashmir,479582,474733,4785,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,  2206513507 
