,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Bilaspur,3,0,24,,12,379,0,0,63.0,0.0,128.0,0.0,470.0,9638.0,0,382056,,,,14437,85,14248,,323674,244554,0,1,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
1,1,1,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Chamba,0,0,12,,222,3577,0,0,8.0,0.0,34.0,0.0,1570.0,26211.0,0,518844,,,,13695,160,13524,,365828,224357,0,2,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
2,2,2,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Hamirpur,19,0,38,,0,0,0,0,157.0,2.0,260.0,0.0,462.0,11876.0,0,454293,,,,17536,289,17001,,377794,281019,0,1,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
3,3,3,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Kangra,16,3,78,,2,19,0,0,292.0,14.0,635.0,0.0,2172.0,38083.0,0,1507223,,,,51110,1139,49507,,1184735,763837,0,5,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,1.0
4,4,4,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Kinnaur,0,0,0,,0,0,0,0,8.0,0.0,3.0,0.0,35.0,357.0,0,84298,,,,3515,38,3468,,79708,63566,0,0,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
5,5,5,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Kullu,0,0,0,,0,0,0,0,13.0,0.0,17.0,0.0,681.0,9733.0,0,437474,,,,9705,158,9513,,351942,213282,0,2,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
6,6,6,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Lahaul and Spiti,0,0,0,,0,0,0,0,1.0,0.0,0.0,0.0,15.0,288.0,0,31528,,,,2954,18,2935,,31935,21274,0,0,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
7,7,7,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Mandi,10,2,17,,92,3227,0,0,93.0,5.0,152.0,0.0,992.0,27844.0,0,999518,,,,31699,453,31135,,776234,507199,0,0,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
8,8,8,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Shimla,7,0,8,,25,1491,0,0,55.0,1.0,82.0,0.0,1423.0,30843.0,0,813384,,,,27604,642,26868,,679764,443483,0,4,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
9,9,9,2021-11-07,HP,60,5,214,0,616,13970,0,0,784.0,24.0,1485.0,0,10521.0,209857.0,0.0,Sirmaur,0,0,0,,120,1233,0,0,2.0,0.0,0.0,0.0,1247.0,21554.0,0,530164,,,,15458,211,15244,,425040,231185,0,0,2021-11-07 08:00:00+05:30,7300000,,,,224890,3762,219895,,5724216,3653635,0,17,1.0,0.0
