"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
2-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","8","181442","180462[4]","99.46","922","58","1658","4669","3583095"
"2","Faridabad","1","99906","99165[7]","99.26","716","25","1517","3190","2506873"
"3","Hisar","0","53995","52857","97.89","1136","2","442","1622","1328747"
"4","Sonepat","0","47138","46884","99.46","254","0","999","2311","1406291"
"5","Karnal","0","40037","39484","98.62","552","1","500","2594","1456123"
"6","Panipat","0","31150","30511[1]","97.95","638","1","1364","1902","1108624"
"7","Panchkula","2","30772","30381","98.73","378","13","322","1128","739295"
"8","Ambala","0","30150","29640[1]","98.31","509","1","383","3688","1449805"
"9","Sirsa","0","29282","28774[3]","98.27","508","0","407","962","1066699"
"10","Rohtak","0","25903","25351[1]","97.87","534","1","1356","2171","984787"
"11","Yamunanagar","0","24631","24217[2]","98.32","414","0","578","1572","1174495"
"12","Bhiwani","0","22409","21757","97.09","652","0","496","2673","1065851"
"13","Kurukshetra","0","22148","21790[1]","98.38","357","1","357","1234","860447"
"14","Mahindergarh","0","21689","21534","99.29","155","0","459","1534","844216"
"15","Jind","0","21209","20675","97.48","533","1","1439","2177","959913"
"16","Rewari","0","20327","20106","98.91","221","0","143","810","944955"
"17","Jhajjar","0","18849","18514","98.22","328","1","822","1834","982029"
"18","Fatehabad","0","17875","17394","97.31","481","0","118","617","777272"
"19","Kaithal","0","11244","10898","96.92","346","0","521","1837","835259"
"20","Palwal","0","11025","10872","98.61","153","0","902","1400","833941"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","160","2685","629631"
"22","Nuh","0","5014","4891[1]","97.55","123","0","1791","575","438080"
"Total","","11","771273","761096[21]","98.68","10049","105","16734","43185","25976428"
