"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","104","231","1544"
"Kollam","76","179","121"
"Pathanamthitta","75","112","407"
"Alappuzha","49","107","196"
"Kottayam","145","223","1380"
"Idukki","63","119","887"
"Ernakulam","217","344","2145"
"Thrissur","82","153","866"
"Palakkad","34","132","49"
"Malappuram","41","57","408"
"Kozhikode","107","221","627"
"Wayanad","37","82","439"
"Kannur","37","59","342"
"Kasaragod","21","18","119"
"Total","1088","2037","9530"
