"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40669","21","40288","14","0","367","0"
"2","Ballari","3","115462","43","113593","107","1","1760","2"
"3","Belagavi","4","100060","31","98911","149","0","998","2"
"4","Bengaluru Rural","1","79264","1","78308","50","0","906","0"
"5","Bengaluru Urban","150","1778672","393","1758748","3003","3","16920","1"
"6","Bidar","1","29798","3","29367","8","0","419","4"
"7","Chamarajanagara","0","43598","38","43025","38","0","524","11"
"8","Chikkaballapura","0","55596","3","55020","116","0","459","1"
"9","Chikkamagaluru","3","57213","5","56751","56","0","406","0"
"10","Chitradurga","2","46181","12","45771","173","0","237","0"
"11","Dakshina 
Kannada","1","135407","27","133468","92","1","1837","10"
"12","Davanagere","4","57521","9","56857","41","1","623","0"
"13","Dharwada","0","84022","5","82606","39","0","1374","3"
"14","Gadag","3","30570","1","30230","5","0","335","0"
"15","Hassana","2","143828","21","142479","44","0","1303","2"
"16","Haveri","0","26827","2","26146","13","0","668","0"
"17","Kalaburagi","0","76544","0","75598","68","0","878","0"
"18","Kodagu","0","49221","37","48777","91","0","352","1"
"19","Kolara","1","62954","2","62259","31","0","664","0"
"20","Koppala","0","41275","2","40709","28","0","538","0"
"21","Mandya","0","101461","10","100727","30","0","704","0"
"22","Mysuru","6","229286","107","226640","90","1","2556","0"
"23","Raichuru","0","45440","7","45032","48","0","360","0"
"24","Ramanagara","0","29767","3","29398","23","0","346","0"
"25","Shivamogga","3","83234","96","81886","219","0","1128","1"
"26","Tumakuru","10","159745","68","158413","119","0","1213","0"
"27","Udupi","2","95560","17","94948","67","0","545","0"
"28","Uttara Kannada","4","71116","5","70277","31","0","808","0"
"29","Vijayapura","2","40989","2","40440","34","0","515","0"
"30","Yadagiri","0","29949","0","29718","20","0","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","202","3941265","971","3896423","4847","7","39957","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 01-03-2022 
 Page 5 of 9","","","","","","","","",""
