"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","1","4","0","2025","16","14","0"
"East Jaintia Hills","1","2","0","2581","33","16","0"
"East Khasi Hills","21","42","0","46922","1063","160","55"
"Eastern West Khasi Hills","3","4","0","133","6","18","0"
"North Garo Hills","2","0","0","1838","9","19","0"
"Ri-Bhoi","3","14","0","10246","96","58","0"
"South Garo Hills","1","2","0","1331","12","6","0"
"South West Garo Hills","0","1","0","2070","19","17","2"
"South West Khasi Hills","3","1","0","2675","19","9","0"
"West Garo Hills","12","17","1","10651","79","77","3"
"West Jaintia Hills","5","1","0","7131","139","62","2"
"West Khasi Hills","3","3","0","5625","75","17","0"
"Total","55","91","1","93228","1566","473","62"
