,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
16,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Namakkal,791,0,394,,54,271,15,271,3593.0,2.0,1635.0,,5837.0,15465.0,4065.0,1721179,,,,59705,524,56009,,1234688,827375,4065,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
17,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Nilgiris,483,0,285,,46,107,62,229,1974.0,3.0,1260.0,,2723.0,3108.0,5480.0,735071,,,,38000,223,35741,,539299,515003,5480,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
18,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Perambalur,119,0,82,,322,1577,24,196,711.0,1.0,523.0,,4385.0,7360.0,1210.0,564511,,,,13609,248,12626,,414113,284631,1210,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
19,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Pudukkottai,203,0,113,,1167,3037,11,72,1141.0,1.0,423.0,,15021.0,26019.0,1874.0,1918725,,,,31918,422,30471,,1155242,834637,1874,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
20,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Ramanathapuram,170,1,167,,582,1490,42,174,1308.0,4.0,805.0,,8063.0,19297.0,1441.0,1337560,,,,22881,364,21309,,1037296,760848,1441,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
21,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Ranipet,455,0,419,,252,625,12,583,2356.0,2.0,1979.0,,8788.0,20693.0,1101.0,1210277,,,,48968,783,45476,,729302,474197,1101,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
22,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Salem,1082,0,795,,592,1231,86,634,5966.0,2.0,3093.0,,26952.0,61478.0,11037.0,3480008,,,,111731,1734,104540,,2533467,1813458,11037,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
23,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Sivaganga,148,0,94,,1491,1861,23,185,811.0,0.0,553.0,,15381.0,25476.0,2175.0,1341250,,,,22045,213,21072,,988683,677003,2175,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
24,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Tenkasi,431,0,138,,430,646,12,106,1530.0,1.0,698.0,,10004.0,28086.0,1942.0,1407627,,,,29558,487,27758,,944764,673134,1942,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
25,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Thanjavur,1424,1,446,,1286,4118,80,421,4804.0,4.0,1936.0,,17952.0,41915.0,4726.0,2402781,,,,83758,1015,77807,,1682107,1107669,4726,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
