,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
13,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Koderma,,,,,1687,381,19,,,,,,33522.0,3940.0,1111.0,717169,,,,,,,,471355,256499,1111,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
14,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Latehar,,,,,1281,1324,292,,,,,,11435.0,10596.0,3875.0,725673,,,,,,,,475987,251475,3875,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
15,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Lohardaga,,,,,944,390,86,,,,,,12473.0,6676.0,1626.0,461738,,,,,,,,287092,171746,1626,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
16,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Pakur,,,,,1373,3383,781,,,,,,14634.0,27895.0,2602.0,899200,,,,,,,,580109,310645,2602,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
17,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Palamu,,,,,17071,2894,189,,,,,,86299.0,18859.0,3899.0,1936319,,,,,,,,1198547,752056,3899,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
18,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Ramgarh,,,,,1674,1894,39,,,,,,14503.0,12135.0,2695.0,949159,,,,,,,,629482,412863,2695,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
19,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Ranchi,,,,,4017,2773,310,,,,,,46999.0,31759.0,15973.0,2912022,,,,,,,,1917984,1223514,15973,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
20,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Sahibganj,,,,,2699,2056,72,,,,,,22851.0,14610.0,1114.0,1150038,,,,,,,,727028,368946,1114,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
21,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Saraikela-Kharsawan,,,,,2711,1896,23,,,,,,21695.0,19733.0,1302.0,1063458,,,,,,,,651451,391541,1302,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
22,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Simdega,,,,,1902,1169,10,,,,,,13555.0,7698.0,747.0,599813,,,,,,,,363099,250595,747,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
23,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Unknown,1269.0,8.0,3423.0,,0,0,0,23769.0,15118.0,58.0,27341.0,,0.0,0.0,0.0,0,,,,420427.0,5261.0,395700.0,,0,0,0,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
24,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,West Singhbhum,,,,,6967,1337,114,,,,,,51065.0,15524.0,5824.0,1501619,,,,,,,,995447,508146,5824,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
