"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1400","111876","1144","108633","20","2999","244"
"2","SAS Nagar","2289","97978","1737","96270","11","1159","549"
"3","Jalandhar","847","79112","556","76894","4","1944","274"
"4","Patiala","872","62952","669","61052","1","1712","188"
"5","Amritsar","423","59978","322","58030","2","1842","106"
"6","Bathinda","564","51431","350","49793","1","1424","214"
"7","Hoshiarpur","225","41367","181","39913","4","1404","50"
"8","Gurdaspur","132","27061","84","26157","2","866","38"
"9","Pathankot","238","24751","171","24186","0","517","48"
"10","Fazilka","158","23592","142","22945","0","621","26"
"11","Muktsar","73","22625","60","22070","0","539","16"
"12","Kapurthala","163","22192","133","21575","1","593","24"
"13","Ropar","284","18222","184","17667","1","456","99"
"14","Ferozepur","156","18049","125","17485","2","539","25"
"15","Mansa","103","17328","86","16922","1","393","13"
"16","Faridkot","184","17019","165","16586","2","412","21"
"17","Sangrur","97","14531","78","13651","1","861","19"
"18","SBS Nagar","128","13530","105","13093","0","409","28"
"19","FG Sahib","249","12164","191","11671","1","437","56"
"20","Moga","43","11042","39","10770","2","268","4"
"21","Tarn Taran","41","10941","26","10531","0","398","12"
"22","Barnala","74","7574","69","7207","0","357","10"
"23","Malerkotla","30","4034","21","3812","1","213","9"
"","Total","8773","769349","6638","746913","57","20363","2073"
