"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","17","19","65797","1","4536","70327","0"
"Bageshwar","20","4","35728","0","2093","37817","3"
"Chamoli","55","53","49429","0","3213","52640","8"
"Champawat","0","1","62657","0","1912","64566","0"
"Dehradun","245","198","377323","11","33415","410603","35"
"Haridwar","66","58","309111","2","13168","322249","15"
"Nainital","15","126","90344","3","11398","101672","28"
"Pauri Garhwal","83","97","96349","1","5284","101626","16"
"Pithoragarh","16","25","42380","0","2560","44928","0"
"Rudraprayag","4","2","27783","0","2715","30498","3"
"Tehri Garhwal","25","7","38433","0","2384","40810","14"
"US Nagar","181","54","139638","1","8827","148441","56"
"Uttarkashi","8","0","41798","0","1678","43474","18"
"Total","735","644","1376770","19","93183","1469651","196"
