"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3086","113562","3043","110532","38","3017","13"
"2","SAS Nagar","5375","101064","5333","99866","20","1168","30"
"3","Jalandhar","2826","81091","2748","79086","43","1983","22"
"4","Patiala","2137","64217","2102","62485","11","1722","10"
"5","Amritsar","1408","60963","1389","59097","6","1846","20"
"6","Bathinda","1575","52442","1562","51005","6","1429","8"
"7","Hoshiarpur","1307","42416","1254","40986","19","1419","11"
"8","Gurdaspur","350","27277","330","26403","7","871","3"
"9","Pathankot","520","25022","480","24495","4","521","6"
"10","Fazilka","550","23982","541","23344","0","621","17"
"11","Muktsar","283","22835","281","22291","3","542","2"
"12","Kapurthala","550","22579","535","21976","9","601","2"
"13","Ropar","1144","19082","1134","18617","4","459","6"
"14","Ferozepur","476","18369","467","17827","3","540","2"
"15","Mansa","194","17419","188","17024","1","392","3"
"16","Faridkot","380","17216","380","16801","3","414","1"
"17","Sangrur","276","14710","267","13840","9","869","1"
"18","SBS Nagar","466","13868","470","13458","0","409","1"
"19","FG Sahib","723","12638","713","12193","1","437","8"
"20","Moga","248","11247","243","10974","6","272","1"
"21","Tarn Taran","153","11053","146","10651","1","399","3"
"22","Barnala","218","7718","215","7353","7","364","1"
"23","Malerkotla","61","4064","58","3849","4","215","0"
"","Total","24306","784834","23879","764153","205","20510","171"
