"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2084","20","1","0"
"East Jaintia Hills","0","1","0","2677","39","2","0"
"East Khasi Hills","7","3","0","47866","1079","26","10"
"Eastern West Khasi Hills","0","0","0","161","9","0","0"
"North Garo Hills","1","0","0","1920","10","2","0"
"Ri-Bhoi","1","3","0","10580","101","12","2"
"South Garo Hills","0","0","0","1441","16","1","0"
"South West Garo Hills","0","0","0","2265","21","5","0"
"South West Khasi Hills","0","1","0","2720","20","1","0"
"West Garo Hills","6","1","0","11840","84","28","1"
"West Jaintia Hills","1","1","0","7326","142","3","0"
"West Khasi Hills","0","0","0","5671","78","1","1"
"Total","16","10","0","96551","1619","82","14"
