District,Recovered,Deceased,Active
लखनऊ,293095,2694,489
गौतम बिु नगर,97348,490,250
गोरखपरु,65652,866,240
प्रयागराज,87120,1107,149
बाराबकंी,23497,225,139
गाज़ियाबाद,84071,473,134
लखीमपरु-खीरी,29811,299,117
िाराणसी,97382,988,106
झासी,43747,674,92
राय बरेली,21169,346,88
लललतपरु,14597,134,87
आगरा,35591,464,72
सलु्तानपरु,16785,144,66
कानपरु नगर,91394,1923,63
मरेठ,87974,931,61
आजमगढ़,19368,235,56
हरदोई,17169,367,50
जौनपरु,24302,244,45
महाराजगजं,14619,146,45
अम्बडेकर नगर,5896,162,42
फतहेपरु,8238,141,38
उन्नाव,16828,257,38
कुशीनगर,16184,235,36
बलुदंशहर,26287,252,30
अमरोहा,19259,207,29
देवररया,22361,230,29
जालौन,13815,208,29
प्रतापगढ़,16673,163,28
बहराइच,13378,178,27
बरेली,50053,377,25
कन्नौज,10773,125,25
मथरुा,25538,406,25
लसद्धाथ नगर,11499,102,25
एटा,12078,100,24
कौशाम्बी,4849,72,24
बादा,12022,166,22
क्रिरोजाबाद,10525,136,21
सहारनपरु,38333,426,21
सतं कबीर नगर,8824,101,20
शाहजहांपरु,24374,447,19
हमीरपरु,6032,102,18
सभंल,11007,109,18
सोनभद्र,18625,257,18
