,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Srinagar,49,0,45,,394,11547,0,,,,,957347,592016,1269751,2021-10-31 17:00,https://twitter.com/diprjk,,75539,846,74242,,957347,592016,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,1549363.0,11941
1,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Baramulla,10,0,6,,42,2327,0,,,,,776258,450002,1015503,2021-10-31 17:00,https://twitter.com/diprjk,,24613,282,24196,,776258,450002,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,1226260.0,2369
2,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Budgam,10,0,10,,113,2657,0,,,,,592075,319587,735753,2021-10-31 17:00,https://twitter.com/diprjk,,23844,207,23548,,592075,319587,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,911662.0,2770
3,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Pulwama,4,0,0,,24,1414,0,,,,,430622,244300,570060,2021-10-31 17:00,https://twitter.com/diprjk,,15512,194,15309,,430622,244300,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,674922.0,1438
4,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Kupwara,5,0,4,,165,8743,0,,,,,673594,348327,875564,2021-10-31 17:00,https://twitter.com/diprjk,,14463,166,14268,,673594,348327,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,1021921.0,8908
5,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Anantnag,2,0,2,,69,4677,0,,,,,759605,402717,1070144,2021-10-31 17:00,https://twitter.com/diprjk,,16603,205,16378,,759605,402717,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,1162322.0,4746
6,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Bandipora,1,0,0,,12,639,0,,,,,303665,154345,385099,2021-10-31 17:00,https://twitter.com/diprjk,,9814,102,9693,,303665,154345,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,458010.0,651
7,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Ganderbal,7,0,2,,33,1116,0,,,,,227349,133812,297003,2021-10-31 17:00,https://twitter.com/diprjk,,10436,79,10313,,227349,133812,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,361161.0,1149
8,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Kulgam,1,0,2,,39,1610,0,,,,,401091,202260,422786,2021-10-31 17:00,https://twitter.com/diprjk,,11489,117,11367,,401091,202260,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,603351.0,1649
9,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Shopiyan,0,0,0,,6,302,0,,,,,203036,95122,265960,2021-10-31 17:00,https://twitter.com/diprjk,,5607,58,5549,,203036,95122,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,298158.0,308
10,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Jammu,3,0,6,,86,593,0,,,,,1168448,610537,1526406,2021-10-31 17:00,https://twitter.com/diprjk,,53324,1145,52145,,1168448,610537,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,1778985.0,679
11,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Udhampur,0,0,0,,76,700,0,,,,,425945,227785,555357,2021-10-31 17:00,https://twitter.com/diprjk,,11415,137,11275,,425945,227785,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,653730.0,776
12,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Rajouri,0,0,0,,56,752,0,,,,,498787,241407,619266,2021-10-31 17:00,https://twitter.com/diprjk,,11272,237,11031,,498787,241407,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,740194.0,808
13,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Doda,2,0,0,,74,1079,0,,,,,313983,158751,409576,2021-10-31 17:00,https://twitter.com/diprjk,,7869,133,7704,,313983,158751,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,472734.0,1153
14,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Kathua,0,0,0,,108,2053,0,,,,,482584,249588,615711,2021-10-31 17:00,https://twitter.com/diprjk,,9327,152,9175,,482584,249588,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,732172.0,2161
15,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Samba,0,0,0,,40,468,0,,,,,280700,122554,318611,2021-10-31 17:00,https://twitter.com/diprjk,,7152,120,7032,,280700,122554,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,403254.0,508
16,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Kishtwar,0,0,0,,85,320,0,,,,,164754,78041,230696,2021-10-31 17:00,https://twitter.com/diprjk,,4819,44,4773,,164754,78041,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,242795.0,405
17,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Punch,0,0,0,,45,3190,0,,,,,386098,234540,476820,2021-10-31 17:00,https://twitter.com/diprjk,,6482,98,6371,,386098,234540,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,620638.0,3235
18,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Ramban,1,0,0,,155,829,0,,,,,220690,147086,283313,2021-10-31 17:00,https://twitter.com/diprjk,,6043,67,5971,,220690,147086,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,367776.0,984
19,2021-11-31,JK,95,0,79,38915.0,1862,46824,0,331968.14285714284,4431.428571428572,326672.0,16086546.0,9511010.0,5146748.0,Reasi,0,0,2,,240,1808,0,,,,,244379,133971,314714,2021-10-31 17:00,https://twitter.com/diprjk,,6626,43,6575,,244379,133971,2021-11-03 09:40,13203000,2021-10-31 17:00,https://twitter.com/diprjk,,332249,4432,326915,16202346,9511010,5146748,14657758.0,48686.0,14657758.0,378350.0,2048
