,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Ajmer,0,0,0,343683.0,110,1101,0,37766.0,410.0,37351.0,310312.0,1752308,1042482,2584913,2021-10-31 18:00,https://twitter.com/dineshkumawat,,37769,410,37352,604898,1752308,1042482,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,2794790.0,1211
1,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Alwar,0,0,0,911676.0,376,1002,0,59694.0,307.0,59387.0,422118.0,2237787,1029095,3671999,2021-10-31 18:00,https://twitter.com/dineshkumawat,,59694,307,59387,1203555,2237787,1029095,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,3266882.0,1378
2,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Banswara,0,0,0,167768.0,986,1105,0,,,,,1024293,525793,1798194,2021-10-31 18:00,https://twitter.com/dineshkumawat,,10005,104,9901,216549,1024293,525793,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,1550086.0,2091
3,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Baran,0,0,0,103649.0,44,212,0,,,,,763006,297741,1223921,2021-10-31 18:00,https://twitter.com/dineshkumawat,,11996,61,11934,149817,763006,297741,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,1060747.0,256
4,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Barmer,0,0,0,208661.0,64,247,0,,,,,1455732,621465,2604453,2021-10-31 18:00,https://twitter.com/dineshkumawat,,15563,185,15377,322529,1455732,621465,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,2077197.0,311
5,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Bharatpur,0,0,0,176985.0,59,176,0,,,,,1351114,590401,2549121,2021-10-31 18:00,https://twitter.com/dineshkumawat,,19601,260,19341,378426,1351114,590401,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,1941515.0,235
6,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Bhilwara,0,0,0,228380.0,161,1752,0,,,,,1525323,723691,2410459,2021-10-31 18:00,https://twitter.com/dineshkumawat,,29781,156,29625,377144,1525323,723691,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,2249014.0,1913
7,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Bikaner,0,0,1,304928.0,76,275,0,,,,,1461174,714590,2367745,2021-10-31 18:00,https://twitter.com/dineshkumawat,,40339,545,39792,583230,1461174,714590,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,2175764.0,351
8,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Bundi,0,0,0,110372.0,424,1216,0,,,,,709316,362835,1113725,2021-10-31 18:00,https://twitter.com/dineshkumawat,,7967,48,7919,168539,709316,362835,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,1072151.0,1640
9,2021-11-31,RJ,2.0,0.0,2.0,13454.0,10670,33555,0,954417.0,8954.0,945438.0,14764408.0,42543054.0,20093989.0,Chittorgarh,0,0,0,234023.0,21,43,0,,,,,978713,482350,1544392,2021-10-31 18:00,https://twitter.com/dineshkumawat,,19809,139,19670,350025,978713,482350,2021-11-03 09:39,77264000,2021-10-31 18:00,https://twitter.com/dineshkumawat,,954429,8954,945443,14807752,42543054,20093989,62637043.0,44225.0,62637043.0,1461063.0,64
