,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
0,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Other State,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,,0
1,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Alappuzha,0.0,0.0,0.0,,65,502,0,,,,,1518055,855411,2121943,,,,315890.0,1861.0,313060.0,,1518055,855411,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,2373466.0,567
2,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Ernakulam,0.0,0.0,0.0,,573,1977,0,,,,,2953482,1759232,3279860,,,,601754.0,3544.0,582924.0,,2953482,1759232,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,4712714.0,2550
3,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Idukki,0.0,0.0,0.0,,26,208,0,,,,,859116,481911,1107453,,,,146568.0,518.0,140097.0,,859116,481911,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,1341027.0,234
4,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Kannur,0.0,0.0,0.0,,38,325,0,,,,,1891004,959656,2525637,,,,274960.0,2325.0,269024.0,,1891004,959656,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,2850660.0,363
5,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Kasaragod,0.0,0.0,0.0,,389,1861,0,,,,,910194,521754,1302600,,,,138678.0,617.0,134677.0,,910194,521754,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,1431948.0,2250
6,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Kollam,0.0,0.0,0.0,,13,215,0,,,,,1951077,1047951,2629703,,,,390280.0,2451.0,383075.0,,1951077,1047951,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,2999028.0,228
7,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Kottayam,0.0,0.0,0.0,,11,125,0,,,,,1477425,841596,1979384,,,,321978.0,1351.0,315604.0,,1477425,841596,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,2319021.0,136
8,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Kozhikode,0.0,0.0,0.0,,55,449,0,,,,,2341296,1154561,3089543,,,,526604.0,3351.0,518270.0,,2341296,1154561,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,3495857.0,504
9,2021-11-31,KL,0.0,0.0,0.0,0,2045,12063,0,4944734.285714285,30439.142857142862,4836569.0,,25306499.0,13658337.0,Malappuram,0.0,0.0,0.0,,152,523,0,,,,,2833303,1103557,4110956,,,,567250.0,2528.0,561551.0,,2833303,1103557,2021-11-03 09:38:58.247704,35125000,,,,4961490,31514,4850742,,25306499,13658337,38964836.0,14108.0,38964836.0,3936860.0,675
