"Total No. of Sample Taken Today","18577"
"Total No. of Positive Cases Detected Today","14"
"Total Positive Cases under Home Isolation (13-11-2021)","98"
"Total No. of Samples Sent till date","13279261"
"Total No. of Samples found Positive till date","771434 
(M: 471382 
F: 300035 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761235"
"Total Active COVID-19 Patients","126"
"No. of Deaths","10050"
"Total No. of People Vaccinated today","47809 
(1st Dose: 15994, 
2nd Dose: 31815"
"Cumulative Coverage of Vaccination","26848748"
"COVID-19 Today (14-11-2021) Positivity Rate","0.07%"
"COVID-19 Cumulative Positivity Rate","5.82%"
"Recovery Rate","98.68%"
"Fatality Rate","1.30%"
"Tests Per Million Population","523837"
