"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
14-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","11","181548","180549[4]","99.45","922","77","520","1961","3688237"
"2","Faridabad","1","99916","99191","99.27","716","9","1613","4064","2582369"
"3","Hisar","0","53996","52859","97.89","1136","1","180","734","1362888"
"4","Sonepat","0","47139","46884","99.46","254","1","716","1946","1452919"
"5","Karnal","0","40039","39485","98.62","552","2","286","1225","1499952"
"6","Panipat","0","31153","30512","97.94","638","3","2441","3810","1153443"
"7","Panchkula","2","30787","30396[1]","98.73","379","12","694","2374","761488"
"8","Ambala","0","30150","29641","98.31","509","0","266","1215","1493682"
"9","Sirsa","0","29282","28774","98.27","508","0","1585","2806","1106153"
"10","Rohtak","0","25913","25352","97.84","534","10","330","919","1025731"
"11","Yamunanagar","0","24635","24217","98.30","414","4","34","210","1199349"
"12","Bhiwani","0","22409","21757","97.09","652","0","180","2062","1120244"
"13","Kurukshetra","0","22150","21791","98.38","357","2","154","321","881548"
"14","Mahindergarh","0","21689","21534","99.29","155","0","354","941","874917"
"15","Jind","0","21209","20676","97.49","533","0","483","395","1002135"
"16","Rewari","0","20329","20107","98.91","221","1","419","1128","975328"
"17","Jhajjar","0","18849","18515","98.23","328","0","205","851","1028286"
"18","Fatehabad","0","17877","17394","97.30","481","2","294","959","796303"
"19","Kaithal","0","11246","10898","96.91","346","2","396","1884","865008"
"20","Palwal","0","11026","10873","98.61","153","0","498","821","872763"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","12","69","643093"
"22","Nuh","0","5014","4891","97.55","123","0","4334","1120","462912"
"Total","","14","771434","761235[5]","98.68","10050","126","15994","31815","26848748"
