"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","750","2554","8884"
"Kollam","501","1074","4243"
"Pathanamthitta","311","751","3010"
"Alappuzha","363","995","4768"
"Kottayam","542","1530","7909"
"Idukki","298","1054","5806"
"Ernakulam","1462","3145","13710"
"Thrissur","542","1532","6894"
"Palakkad","316","665","2855"
"Malappuram","339","970","4988"
"Kozhikode","653","1405","5735"
"Wayanad","285","562","2833"
"Kannur","270","597","2547"
"Kasaragod","125","252","835"
"Total","6757","17086","75017"
