,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10751,10622,129,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,991263,347616,353284,290363,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339098,2324362,14733,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,110956464,44704088,47578605,18673771,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,2,0,1,3,0,1,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66891,66595,296,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,1924549,961348,821819,141382,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746100,738065,8035,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,50332329,24812878,22148363,3371088,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,1,0,1,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851428,839122,12303,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,157267631,73481694,67904270,15881667,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,17,80,39,136,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,99375,98187,1182,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,2288281,1185514,988724,114043,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,2,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177806,1163654,14146,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,49167484,21267652,20343651,7556181,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,1,1,0,2,1,1,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,1579693,782331,636937,160425,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2007718,1981133,26523,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,37403101,18295997,15715790,3391314,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,1,1,2,26,2,0,,,1332900000,Delhi,19814000
9,Goa,259199,255146,4013,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,2874306,1440025,1295707,138574,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,8,0,0,,,1332900000,Goa,1540000
10,Gujarat,1278074,1266759,11047,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,128089873,54396792,54030241,19662840,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,9,29,76,114,58,23,0,,,1332900000,Gujarat,67936000
11,Haryana,1056803,1046042,10714,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,45512711,23678331,19838991,1995389,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,4,23,37,64,6,8,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,312900,308586,4214,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,15322796,6646453,6327461,2348882,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,42,2,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479533,474705,4785,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,24782030,11372555,11768096,1641379,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,1,0,0,1,6,4,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442581,437246,5331,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,43860588,23967485,17853846,2039257,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,20,111,223,354,2,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4074931,4034098,40315,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,122145621,55173953,55390810,11580858,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,1,1,81,71,2,,,1332900000,Karnataka,65798000
16,Kerala,6831772,6758610,71590,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,57504148,29150226,25269938,3083984,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,-1,1,1,1,77,64,0,,,1332900000,Kerala,35125000
17,Ladakh,29425,29194,231,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,567120,238303,204102,124715,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,145269,61813,60521,22935,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,8138653,7989565,148426,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,177943233,91669381,76622014,9651838,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,16,16,9,41,155,68,2,,,1332900000,Maharashtra,122153000
20,Manipur,139924,137775,2149,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,3269021,1649454,1339160,280407,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Manipur,3103000
21,Meghalaya,96788,95163,1625,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,2625438,1446771,1087651,91016,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,0,0,,,1332900000,Meghalaya,3224000
22,Mizoram,238969,238241,726,2023-03-15,TT,44691956,530789,44156970,2023-03-15 12:00:03.355924,919911774,2023-03-14 00:00:00,95385,2206444209,1027383947,951911801,227148461,1793298,894318,750177,148803,https://www.icmr.gov.in/,618,5,319,3867,2701,827,7395,0,0,0,0,0,1,0,,,1332900000,Mizoram,1192000
