,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-20,DL,Central Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
1,1,2021-11-20,DL,East Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
2,2,2021-11-20,DL,New Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
3,3,2021-11-20,DL,North Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
4,4,2021-11-20,DL,North East Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
5,5,2021-11-20,DL,North West Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
6,6,2021-11-20,DL,Shahdara,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
7,7,2021-11-20,DL,South Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
8,8,2021-11-20,DL,South East Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
9,9,2021-11-20,DL,South West Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
10,10,2021-11-20,DL,West Delhi,,,,,,,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
11,11,2021-11-20,DL,Unknown,,,,1440637.0,25095.0,1415217.0,,2021-11-21 11:46:43.228101,,,,1440637,25095,1415217,30404086
