,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316688,14730,2304854,33485936
1,Anakapalli,0,0,0,0,2316688,14730,2304854,33485936
2,Anantapur,177611,0,0,0,2316688,14730,2304854,33485936
3,Annamayya,0,0,0,0,2316688,14730,2304854,33485936
4,Bapatla,0,0,0,0,2316688,14730,2304854,33485936
5,Chittoor,272394,0,0,0,2316688,14730,2304854,33485936
6,East Godavari,316586,0,0,0,2316688,14730,2304854,33485936
7,Eluru,0,0,0,0,2316688,14730,2304854,33485936
8,Guntur,203245,0,0,0,2316688,14730,2304854,33485936
9,Kakinada,0,0,0,0,2316688,14730,2304854,33485936
10,Konaseema,0,0,0,0,2316688,14730,2304854,33485936
11,Krishna,136896,0,0,0,2316688,14730,2304854,33485936
12,Kurnool,144244,0,0,0,2316688,14730,2304854,33485936
13,Nandyal,0,0,0,0,2316688,14730,2304854,33485936
14,NTR District,0,0,0,0,2316688,14730,2304854,33485936
15,Palnadu,0,0,0,0,2316688,14730,2304854,33485936
16,Parvathipuram Manyam,0,0,0,0,2316688,14730,2304854,33485936
17,Prakasam,155937,0,0,0,2316688,14730,2304854,33485936
18,S.P.S. Nellore,164375,0,0,0,2316688,14730,2304854,33485936
19,Sri Sathya Sai,0,0,0,0,2316688,14730,2304854,33485936
20,Srikakulam,133952,0,0,0,2316688,14730,2304854,33485936
21,Tirupati,0,0,0,0,2316688,14730,2304854,33485936
22,Visakhapatnam,190940,0,0,0,2316688,14730,2304854,33485936
23,Vizianagaram,92242,0,0,0,2316688,14730,2304854,33485936
24,West Godavari,193378,0,0,0,2316688,14730,2304854,33485936
25,Y.S.R. Kadapa,134888,0,0,0,2316688,14730,2304854,33485936
