"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","6647","8235","46202"
"Kollam","3747","4377","27595"
"Pathanamthitta","2176","1748","15618"
"Alappuzha","2213","1785","16632"
"Kottayam","4123","3033","23744"
"Idukki","1936","1445","16617"
"Ernakulam","11103","8571","60874"
"Thrissur","3822","5905","26171"
"Palakkad","2748","2335","21390"
"Malappuram","2996","2809","20220"
"Kozhikode","4490","4331","31595"
"Wayanad","1593","829","9147"
"Kannur","2252","1673","14147"
"Kasaragod","966","573","6250"
"Total","50812","47649","336202"
