"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
03-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","460","184092","181339[72]","98.50","926","1827","12572","9772","4311977"
"2","Faridabad","110","100496","99344[8]","98.85","717","435","11888","13716","3178864"
"3","Hisar","9","54027","52868","97.85","1137","22","16437","8338","1929782"
"4","Sonepat","11","47224","46894","99.30","254","76","9276","12374","1857738"
"5","Karnal","33","40147","39514","98.42","554","79","12134","10947","1937155"
"6","Panipat","12","31210","30523","97.80","638","49","14463","4791","1626558"
"7","Panchkula","35","31093","30541[3]","98.22","381","171","4316","4485","906942"
"8","Ambala","41","30341","29658[2]","97.75","509","174","12628","1527","1813790"
"9","Sirsa","1","29311","28796[1]","98.24","509","6","5728","7438","1648633"
"10","Rohtak","17","25977","25372","97.67","534","54","6294","6695","1322702"
"11","Yamunanagar","19","24723","24249","98.08","414","60","7748","8431","1480917"
"12","Bhiwani","0","22415","21761","97.08","652","2","3980","4797","1486315"
"13","Kurukshetra","15","22219","21808","98.15","358","53","4315","6812","1168034"
"14","Mahindergarh","3","21697","21534","99.25","156","7","3671","3782","1121486"
"15","Jind","3","21222","20677","97.43","533","12","4212","5261","1377193"
"16","Rewari","7","20350","20109","98.82","221","20","4541","5047","1301055"
"17","Jhajjar","10","18883","18519","98.07","328","30","2981","4294","1287947"
"18","Fatehabad","0","17884","17398","97.28","482","4","3210","6349","1025766"
"19","Kaithal","6","11261","10904","96.83","346","11","6936","3802","1376199"
"20","Palwal","0","11033","10877","98.59","153","3","9299","4618","1185298"
"21","Charkhi Dadri","1","5084","4940","97.17","139","5","4123","1557","724660"
"22","Nuh","0","5021","4891","97.41","123","7","1851","5055","879874"
"Haryana","","793","775710","762516[86]","98.30","10064","3107","162603","139888","34948885"
