,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-05,DL,Central Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
1,1,2021-11-05,DL,East Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
2,2,2021-11-05,DL,New Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
3,3,2021-11-05,DL,North Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
4,4,2021-11-05,DL,North East Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
5,5,2021-11-05,DL,North West Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
6,6,2021-11-05,DL,Shahdara,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
7,7,2021-11-05,DL,South Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
8,8,2021-11-05,DL,South East Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
9,9,2021-11-05,DL,South West Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
10,10,2021-11-05,DL,West Delhi,,,,,,,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
11,11,2021-11-05,DL,Unknown,,,,1440035.0,25091.0,1414616.0,,2021-11-07 07:58:59.365473,,,,1440035,25091,1414616,29644224
