"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","4","94","57697","2","4492","62183","5"
"Bageshwar","7","82","33028","0","2086","35110","4"
"Chamoli","25","340","42373","1","3193","45564","15"
"Champawat","120","63","51765","0","1901","53663","98"
"Dehradun","715","807","335814","6","32746","368425","69"
"Haridwar","105","413","292427","3","12957","305354","28"
"Nainital","190","181","68937","3","11280","80147","62"
"Pauri Garhwal","451","368","82278","0","5249","87520","224"
"Pithoragarh","121","7","35756","0","2555","38299","142"
"Rudraprayag","8","102","24229","1","2698","26927","10"
"Tehri Garhwal","108","295","28877","2","2348","31218","36"
"US Nagar","88","687","123146","0","8775","131897","35"
"Uttarkashi","93","245","31641","0","1636","33275","93"
"Total","2035","3684","1207968","18","91916","1299582","821"
