District,Recovered,Deceased,Active
सहारनपरु,38323,426,23
सोनभद्र,18615.0,257.0,22.0
अयोध्या,18641.0,293.0,21.0
हमीरपरु,6019.0,102.0,20.0
क्रिरोजाबाद,10520.0,136.0,19.0
पीलीभीत,12697.0,205.0,19.0
सभंि,11007.0,109.0,17.0
मजुफ्फरनगर,38290.0,277.0,16.0
बदाय,17895.0,101.0,15.0
हापड़ु,15170.0,224.0,15.0
चचत्रकट,7733.0,79.0,14.0
कानपरु देहात,7109.0,110.0,14.0
अिीगढ,25447.0,113.0,13.0
बस्ती,12763.0,336.0,13.0
मनैपरुी,11448.0,189.0,13.0
मऊ,8918.0,85.0,13.0
मरुादाबाद,46055.0,366.0,13.0
गोंडा,14090.0,284.0,12.0
बबजनौर,18271.0,139.0,11.0
इटावा,15755.0,296.0,11.0
शामली,16676.0,48.0,11.0
चदंौिी,17515.0,378.0,10.0
औरैय्या,10768.0,211.0,9.0
भदोही,8456.0,165.0,9.0
महोबा,4455.0,88.0,9.0
बिरामपरु,8101.0,139.0,7.0
कासगजं,4872.0,55.0,7.0
लमर्ापरु,11943.0,124.0,7.0
हार्रस,3710.0,43.0,6.0
श्रावस्ती,5227.0,41.0,6.0
गाजीपरु,23859.0,295.0,5.0
रामपरु,14600.0,153.0,3.0
