"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109823","22","107522","2279"
"2","SAS Nagar","95730","19","94563","1148"
"3","Jalandhar","78318","15","76725","1578"
"4","Patiala","62050","8","60584","1458"
"5","Amritsar","59401","1","57718","1682"
"6","Bathinda","50880","2","49790","1088"
"7","Hoshiarpur","40868","23","39749","1096"
"8","Gurdaspur","26946","2","26079","865"
"9","Pathankot","24547","6","24046","495"
"10","Fazilka","23400","0","22855","545"
"11","Muktsar","22557","1","22017","539"
"12","Kapurthala","22046","2","21465","579"
"13","Ropar","17940","0","17485","455"
"14","Ferozepur","17904","2","17365","537"
"15","Mansa","17229","1","16836","392"
"16","Faridkot","16789","2","16449","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13409","4","12998","407"
"19","FG Sahib","11836","1","11481","354"
"20","Moga","10987","0","10733","254"
"21","Tarn Taran","10899","0","10505","394"
"22","Barnala","7500","2","7149","349"
"23","Malerkotla","3967","0","3791","176"
"","Total","759334","113","741478","17743"
