"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19886","19616","3","267"
"2","Chengalpattu","236689","233559","472","2658"
"3","Chennai","754304","744097","1139","9068"
"4","Coimbatore","330250","327494","139","2617"
"5","Cuddalore","74283","73380","8","895"
"6","Dharmapuri","36197","35913","1","283"
"7","Dindigul","37482","36816","1","665"
"8","Erode","132699","131952","13","734"
"9","Kallakurichi","36525","36307","3","215"
"10","Kancheepuram","94621","93227","92","1302"
"11","Kanyakumari","86318","85163","70","1085"
"12","Karur","29760","29386","2","372"
"13","Krishnagiri","59659","59281","8","370"
"14","Madurai","91088","89827","25","1236"
"15","Mayiladuthurai","26501","26168","3","330"
"16","Nagapattinam","25444","25069","0","375"
"17","Namakkal","68014","67479","1","534"
"18","Nilgiris","42179","41917","36","226"
"19","Perambalur","14465","14213","3","249"
"20","Pudukottai","34476","34050","0","426"
"21","Ramanathapuram","24683","24315","0","368"
"22","Ranipet","53958","53155","16","787"
"23","Salem","127433","125648","23","1762"
"24","Sivagangai","23854","23622","13","219"
"25","Tenkasi","32750","32257","3","490"
"26","Thanjavur","92178","91131","7","1040"
"27","Theni","50605","50071","1","533"
"28","Thirupathur","35739","35105","1","633"
"29","Thiruvallur","147707","145655","113","1939"
"30","Thiruvannamalai","66818","66131","2","685"
"31","Thiruvarur","48024","47549","3","472"
"32","Thoothukudi","64989","64528","13","448"
"33","Tirunelveli","62811","62339","27","445"
"34","Tiruppur","129950","128892","6","1052"
"35","Trichy","95011","93822","28","1161"
"36","Vellore","57344","56170","11","1163"
"37","Villupuram","54592","54224","2","366"
"38","Virudhunagar","56846","56290","2","554"
"39","Airport Surveillance 
(International)","1308","1292","15","1"
"40","Airport Surveillance 
(Domestic)","1129","1120","8","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,58,997","34,18,658","2,313","38,026"
