"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 28-05-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","164","743","274055","272305[101]","99.36","1007","544","1606","3751","5348410"
"2","Faridabad","34","241","129739","128757[38]","99.24","741","320","1119","1608","4035549"
"3  Hisar","","6","23","62131","60933[3]","98.07","1175","122","322","163","2343946"
"4","Sonipat","2","4","58709","58429","99.52","276","191","488","578","2285239"
"5","Karnal","2","16","48261","47649[1]","98.73","596","65","250","264","2387412"
"6","Panchkula","5","21","44333","43898[4]","99.02","414","147","576","428","1117801"
"7","Ambala","0","7","40810","40261","98.65","542","178","491","776","2130866"
"8","Panipat","1","7","36112","35433[2]","98.12","672","287","383","183","2050877"
"9","Sirsa","2","11","33408","32858","98.35","539","118","332","118","1932121"
"10  Rohtak","","4","18","31977","31405[4]","98.21","537","127","348","250","1696120"
"","11  Yamunanagar","0","2","30687","30230","98.51","455","39","1499","262","1949847"
"12  Kurukshetra","","0","2","26858","26458","98.51","398","209","798","286","1551557"
"13  Bhiwani","","0","11","26532","25856","97.45","665","166","219","306","1767511"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","39","175","204","1376777"
"15  Rewari","","1","5","24631","24402[1]","99.07","224","334","455","315","1563367"
"16","Jind","0","1","24359","23816","97.77","542","120","751","118","1715685"
"17","Jhajjar","3","15","23506","23135[1]","98.42","350","150","206","244","1575346"
"18  Fatehabad","","0","1","20071","19572","97.51","498","26","33","34","1192390"
"19  Kaithal","","0","3","14245","13871[1]","97.37","371","235","500","477","1759157"
"20  Palwal","","1","8","13506","13328[1]","98.68","170","396","473","121","1535742"
"","21  Charkhi Dadri","2","4","7456","7307","98.00","145","13","68","569","893386"
"22  Nuh","","0","0","6112","5973","97.73","139","9","14","25","1221483"
"Haryana","","227","1143","1002252","990465[157]","98.82","10621","3835","11106","11080","43430589"
