"S. No","Subject","Number"
"1","Total Number of people vaccinated on 6th Dec","75,304"
"2","First Dose on 6th Dec","21,075"
"3","Second Dose on 6th Dec","54,229"
"4","Cumulative Vaccination till 6th Dec","9,42,67,349"
"5","Cumulative Vaccination First Dose","6,35,43,852"
"6","Cumulative Vaccination Second Dose","3,07,23,497"
"7","Number of CVC (Common Vaccination Centres)","1,903"
"8","Cumulative AEFI cases reported","5,781"
"9","Vaccine wastage","-7%"
