"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","35186","0","34848","5","0","333","0"
"2","Ballari","0","97835","3","96037","111","0","1687","0"
"3","Belagavi","5","80062","6","79029","87","0","946","0"
"4","Bengaluru Rural","0","62131","2","61201","38","0","892","0"
"5","Bengaluru Urban","197","1259585","135","1237580","5630","2","16374","1"
"6","Bidar","0","24351","0","23943","0","0","404","4"
"7","Chamarajanagara","1","33110","3","32576","20","0","503","11"
"8","Chikkaballapura","0","43991","0","43552","7","0","431","1"
"9","Chikkamagaluru","6","51420","39","50925","97","0","398","0"
"10","Chitradurga","1","36753","0","36508","36","0","209","0"
"11","Dakshina 
Kannada","15","116125","16","114271","156","0","1691","7"
"12","Davanagere","0","51025","0","50404","13","0","608","0"
"13","Dharwada","4","61452","9","60089","38","0","1323","2"
"14","Gadag","1","26074","0","25754","1","0","319","0"
"15","Hassana","7","112216","11","110866","89","0","1259","2"
"16","Haveri","0","21960","0","21316","1","0","643","0"
"17","Kalaburagi","0","61968","0","61137","9","0","822","0"
"18","Kodagu","13","37542","27","36986","222","0","333","1"
"19","Kolara","1","47047","1","46393","12","0","642","0"
"20","Koppala","0","35207","0","34670","9","0","528","0"
"21","Mandya","3","73907","2","73206","46","0","655","0"
"22","Mysuru","21","180104","44","177502","177","0","2425","0"
"23","Raichuru","3","39986","0","39648","5","0","333","0"
"24","Ramanagara","0","24218","0","23890","5","0","323","0"
"25","Shivamogga","6","69698","5","68486","122","0","1090","0"
"26","Tumakuru","6","121228","7","119963","124","0","1141","0"
"27","Udupi","3","76982","4","76456","37","0","489","0"
"28","Uttara Kannada","9","56521","6","55694","53","0","774","0"
"29","Vijayapura","0","36286","2","35783","8","0","495","0"
"30","Yadagiri","0","27548","0","27342","0","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","303","3001554","322","2956088","7158","2","38279","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 16-12-2021 
 Page 5 of 8","","","","","","","","",""
