,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
14,14,14,14,14,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Nadia,35,0,25,,2,20,184,204.0,5.0,157.0,,9175.0,123704.0,5168488,,,,74914,901,73658,,3572757,1731040,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
15,15,15,15,15,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,North 24 Parganas,96,0,92,,740,4271,719,572.0,14.0,628.0,,22402.0,295083.0,10082852,,,,335873,5005,329587,,7027394,4707592,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
16,16,16,16,16,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Other State,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,66,3,63,,0,0,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
17,17,17,17,17,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Paschim Bardhaman,16,1,18,,527,2479,143,111.0,2.0,125.0,,10992.0,89532.0,2882031,,,,58910,365,58294,,1963475,1270842,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
18,18,18,18,18,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Paschim Medinipur,7,0,12,,231,3375,77,85.0,0.0,78.0,,6996.0,135500.0,5094238,,,,54375,510,53698,,3375692,1631489,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
19,19,19,19,19,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Purba Bardhaman,8,0,8,,55,955,51,45.0,1.0,58.0,,6766.0,118894.0,4835532,,,,42773,209,42448,,3478286,1554738,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
20,20,20,20,20,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Purba Medinipur,3,0,7,,28,666,59,44.0,1.0,43.0,,5005.0,174241.0,4417377,,,,63565,404,63071,,3665297,2625798,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
21,21,21,21,21,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Purulia,1,0,2,,197,5028,8,14.0,0.0,13.0,,3530.0,76523.0,2927965,,,,19519,114,19383,,1930918,1011351,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
22,22,22,22,22,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,South 24 Parganas,26,0,38,,68,2167,290,208.0,3.0,256.0,,10800.0,180983.0,8153176,,,,103862,1391,101963,,5489712,3415469,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
23,23,23,23,23,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Uttar Dinajpur,1,0,4,,455,3156,27,20.0,0.0,28.0,,9090.0,70027.0,3000849,,,,20159,241,19867,,1819116,860023,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
