"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","16,765"
"2","Number of persons tested positive today in Tamil Nadu","2,658"
"","Passengers returned from other countries  by 
International airport tested positive today","Africa-1 
Australia-1 
Maldives-1 
UAE-1"
"","Total","2,662"
"3","Total Number of persons tested positive till date","34,88,091"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","26,692/ 
6,73,03,921@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","26,188/ 
6,61,21,150"
"6","No. of Male / Female / Transgender tested positive today","1,532/1,130/0"
"7","No. of Male / Female / Transgender tested positive till date","20,34,308/14,53,745/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,512/ 
34,33,299"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,027"
