,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Tested
0,2022-02-08,DL,Central Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
1,2022-02-08,DL,East Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
2,2022-02-08,DL,New Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
3,2022-02-08,DL,North Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
4,2022-02-08,DL,North East Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
5,2022-02-08,DL,North West Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
6,2022-02-08,DL,Shahdara,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
7,2022-02-08,DL,South Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
8,2022-02-08,DL,South East Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
9,2022-02-08,DL,South West Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
10,2022-02-08,DL,West Delhi,,,,,,,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
11,2022-02-08,DL,Unknown,,,,1846198,26010,1813280,,2022-02-09 11:55:29.828512,,,,1846198,26010,1813280,,35346462
