"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 18-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","18","96","300646","299521 [27] ↑","99.63%","1029","24","17","82","5711336"
"2","Faridabad","6","27","135653","134885 [3] ↑","99.43%","741","4","13","36","4182202"
"3  Hisar","","1","6","63868","62680 [1] ↑","98.14%","1182","2","11","56","2438553"
"4","Sonipat","0","5","59584","59303","99.53%","276","10","47","25","2359659"
"5","Karnal","0","13","49905","49292 [1] ↑","98.77%","600","47","122","104","2468432"
"6","Panchkula","8","17","48374","47936 [8] ↑","99.09%","421","0","0","0","1178429"
"7","Ambala","1","5","42836","42289","98.72%","542","5","28","45","2209368"
"8","Panipat","0","6","36758","36075","98.14%","677","0","0","5","2130428"
"9","Sirsa","1","1","34215","33668","98.40%","546","2","18","17","1989897"
"10  Rohtak","","0","13","33188","32621","98.29%","537","21","30","42","1815439"
"","11  Yamunanagar","0","7","32698","32233","98.58%","458","39","86","33","2040936"
"12  Kurukshetra","","1","2","27826","27416 [4] ↑","98.53%","408 [1] ↑","1","17","64","1628001"
"13  Bhiwani","","0","8","27189","26514 [1] ↑","97.52%","667","3","0","37","1882981"
"14","Jind","0","2","25413","24867","97.85%","544","1","11","2","1782538"
"","15  Mahendragarh","0","5","25008","24838","99.32%","165","1","8","75","1449644"
"16  Rewari","","1","1","24986","24761","99.10%","224","1","6","16","1629322"
"17","Jhajjar","0","0","24108","23747 [3] ↑","98.50%","355","81","9","94","1635189"
"18  Fatehabad","","0","0","20295","19795","97.54%","500","0","1","1","1215598"
"19  Kaithal","","0","4","15207","14827","97.50%","376","2","28","259","1900767"
"20  Palwal","","0","1","13658","13481","98.70%","176","2","6","4","1578036"
"","21  Charkhi Dadri","0","1","8077","7929","98.17%","147","0","9","35","956358"
"22  Nuh","","0","1","6179","6039","97.73%","139","0","0","0","1227294"
"HARYANA","","37","221","1055671","1044717 [48] ↑","","98.96%  10710 [1] ↑","246","467","1032","45410407"
