"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","739","1065619","0","19566"
"2","Thane","8","118127","0","2289"
"3","TMC","51","190154","0","2163"
"4","Navi Mumbai","84","167308","0","2090"
"5","KDMC","8","176263","0","2974"
"6","Ulhasnagar MC","3","26530","0","680"
"7","Bhivandi Nijampur MC","0","13152","0","496"
"8","Mira Bhayandar MC","17","76738","0","1227"
"9","Palghar","2","64688","0","1244"
"10","Vasai Virar MC","15","99040","0","2163"
"11","Raigad","17","138397","0","3463"
"12","Panvel MC","18","106247","0","1482"
"","Mumbai circle total","962","2242263","0","39837"
"13","Nashik","0","183763","0","3814"
"14","Nashik MC","4","278136","0","4752"
