District,Recovered,Deceased,Active
अलीगढ,25346,113,77
ब द,11922.0,165.0,73.0
प्रतापगढ़,16570.0,163.0,73.0
हमीरपरु,5909.0,102.0,72.0
बबजनौर,18184.0,139.0,69.0
मरुादाबाद,45979.0,366.0,68.0
अयोध्य,18561.0,291.0,59.0
इट व,15675.0,296.0,58.0
फर्रख ब द,11799.0,197.0,57.0
चदौली,17445.0,376.0,52.0
औरैय्य,10710.0,210.0,50.0
बस्ती,12700.0,336.0,49.0
सहारनपरु,38255.0,426.0,48.0
मर्रु,25435.0,406.0,46.0
बागपत,10960.0,143.0,45.0
बलर मपरु,8053.0,139.0,42.0
महोब,4409.0,88.0,41.0
कौश म्बी,4780.0,72.0,40.0
मनैपरुी,11398.0,189.0,39.0
सभल,10977.0,109.0,38.0
शामली,16626.0,48.0,37.0
सत कबीर नगर,8787.0,101.0,33.0
एट,12034.0,100.0,32.0
बललय,22476.0,245.0,31.0
मऊ,8891.0,85.0,29.0
लमर् परु,11907.0,121.0,28.0
र मपरु,14569.0,153.0,25.0
क्रिरोजाबाद,10472.0,136.0,24.0
हापड़ु,15138.0,222.0,24.0
चचत्रकट,7703.0,79.0,21.0
ह र्रस,3688.0,43.0,21.0
क सगज,4844.0,55.0,20.0
,,,
,,,
