"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","9","35229","0","34854","42","0","333","0",""
"","2","Ballari","101","98350","15","96092","570","0","1688","0",""
"","3","Belagavi","79","80817","8","79168","701","0","948","0",""
"","4","Bengaluru Rural","160","62823","30","61307","624","0","892","0",""
"","5","Bengaluru Urban","10800","1319340","840","1243995","58917","3","16427","1",""
"","6","Bidar","43","24496","0","23952","136","0","404","4",""
"","7","Chamarajanagara","86","33299","0","32607","177","0","504","11",""
"","8","Chikkaballapura","91","44289","8","43588","268","0","432","1",""
"","9","Chikkamagaluru","41","51707","4","51073","236","0","398","0",""
"","10","Chitradurga","47","36924","3","36564","148","0","212","0",""
"","11","Dakshina 
Kannada","583","118400","94","114823","1872","0","1698","7",""
"","12","Davanagere","56","51185","2","50429","148","0","608","0",""
"","13","Dharwada","178","62254","35","60352","575","0","1325","2",""
"","14","Gadag","21","26164","3","25761","84","0","319","0",""
"","15","Hassana","121","113152","38","111113","774","0","1263","2",""
"","16","Haveri","8","21977","0","21318","16","0","643","0",""
"","17","Kalaburagi","109","62483","16","61191","468","0","824","0",""
"","18","Kodagu","29","37992","14","37380","273","0","338","1",""
"","19","Kolara","139","47675","23","46561","470","1","644","0",""
"","20","Koppala","2","35247","0","34672","47","0","528","0",""
"","21","Mandya","263","75270","69","73421","1192","0","657","0",""
"","22","Mysuru","562","182201","32","177904","1868","0","2429","0",""
"","23","Raichuru","29","40043","3","39662","48","0","333","0",""
"","24","Ramanagara","59","24373","7","23911","138","0","324","0",""
"","25","Shivamogga","136","70309","7","68599","620","0","1090","0",""
"","26","Tumakuru","332","122251","15","120221","886","0","1144","0",""
"","27","Udupi","250","78658","66","76825","1342","0","491","0",""
"","28","Uttara Kannada","106","57106","9","55907","420","1","779","0",""
"","29","Vijayapura","20","36499","15","35833","171","0","495","0",""
"","30","Yadagiri","13","27580","0","27345","29","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","14473","3078129","1356","2966461","73260","5","38379","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 11-01-2022 
 Page 5 of 9","","","","","","","","","",""
"","","","","","","","","","","",""
