"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,883"
"2","Number of persons tested positive today in Tamil Nadu","696"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 2"
"","Total","698"
"3","Total Number of persons tested positive till date","27,33,346"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,043/ 
5,51,89,430@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,794/ 
5,42,54,797"
"6","No. of Male / Female / Transgender tested positive today","409/289/0"
"7","No. of Male / Female / Transgender tested positive till date","15,95,448/11,37,860/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","746/ 
26,88,888"
"10","Total number of deaths today/ till date","15(6 Private &  
9 Govt) /36,575)"
