District,Recovered,Deceased,Active
फरु्रख ब द,11886,197,10
ससद्ध थ ुनगर,11528.0,102.0,10.0
बागपत,11082.0,144.0,9.0
बस्ती,12820.0,337.0,9.0
बहर इच,13423.0,178.0,8.0
बद य,17923.0,101.0,7.0
बसलय,22521.0,246.0,7.0
बलर मपरु,8127.0,139.0,7.0
ज लौन,13921.0,209.0,7.0
सोनभद्र,18702.0,257.0,7.0
हमीरपरु,6243.0,103.0,5.0
हापड़ु,15205.0,224.0,5.0
लसलतपरु,14921.0,134.0,5.0
मऊ,8941.0,86.0,5.0
भदोही,8494.0,166.0,4.0
एट,12111.0,100.0,4.0
कुशीनगर,16246.0,235.0,4.0
मजुफ्फरनगर,38350.0,277.0,4.0
अमठेी,11530.0,145.0,3.0
कौश म्बी,4882.0,72.0,3.0
समर् ुपरु,11964.0,126.0,3.0
र मपरु,14620.0,153.0,3.0
सतं कबीर नगर,8858.0,101.0,3.0
ब द,12165.0,169.0,2.0
बबजनौर,18300.0,139.0,2.0
क नपरु देह त,7129.0,111.0,2.0
श्र वस्ती,5247.0,42.0,2.0
चचत्रकट,7810.0,79.0,1.0
क सगजं,4898.0,55.0,1.0
ह थरस,3726.0,43.0,0.0
महोब,4476.0,89.0,0.0
शामली,16717.0,48.0,0.0
