"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2859","113335","2735","110224","35","3014","97"
"2","SAS Nagar","5004","100693","4687","99220","19","1167","306"
"3","Jalandhar","2640","80905","2405","78743","29","1969","193"
"4","Patiala","1997","64077","1883","62266","11","1722","89"
"5","Amritsar","1261","60816","1144","58852","6","1846","118"
"6","Bathinda","1359","52226","1256","50699","3","1426","101"
"7","Hoshiarpur","1180","42289","1058","40790","15","1415","84"
"8","Gurdaspur","322","27249","277","26350","3","867","32"
"9","Pathankot","470","24972","419","24434","4","521","17"
"10","Fazilka","412","23844","358","23161","0","621","62"
"11","Muktsar","243","22795","204","22214","2","541","40"
"12","Kapurthala","504","22533","462","21903","6","598","32"
"13","Ropar","1007","18945","909","18392","4","459","94"
"14","Ferozepur","426","18319","379","17739","3","540","40"
"15","Mansa","180","17405","173","17009","1","393","3"
"16","Faridkot","363","17199","346","16767","3","414","18"
"17","Sangrur","263","14697","253","13826","9","869","2"
"18","SBS Nagar","408","13810","395","13383","0","409","18"
"19","FG Sahib","658","12573","629","12109","1","437","27"
"20","Moga","219","11218","199","10930","4","270","18"
"21","Tarn Taran","126","11026","107","10612","1","399","15"
"22","Barnala","188","7688","171","7309","5","362","17"
"23","Malerkotla","58","4061","53","3844","3","214","3"
"","Total","22147","782675","20502","760776","167","20473","1426"
