"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109800","11","107510","2279"
"2","SAS Nagar","95711","12","94551","1148"
"3","Jalandhar","78301","8","76715","1578"
"4","Patiala","62043","2","60583","1458"
"5","Amritsar","59399","3","57714","1682"
"6","Bathinda","50877","3","49786","1088"
"7","Hoshiarpur","40846","6","39744","1096"
"8","Gurdaspur","26944","1","26078","865"
"9","Pathankot","24541","4","24042","495"
"10","Fazilka","23400","1","22854","545"
"11","Muktsar","22556","0","22017","539"
"12","Kapurthala","22044","1","21464","579"
"13","Ropar","17939","0","17484","455"
"14","Ferozepur","17902","1","17364","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16787","0","16449","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13407","3","12997","407"
"19","FG Sahib","11835","1","11480","354"
"20","Moga","10987","0","10733","254"
"21","Tarn Taran","10899","0","10505","394"
"22","Barnala","7498","0","7149","349"
"23","Malerkotla","3967","0","3791","176"
"","Total","759219","57","741419","17743"
