,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316686,14730,2304786,33462024
1,Anakapalli,0,0,0,0,2316686,14730,2304786,33462024
2,Anantapur,177611,0,0,0,2316686,14730,2304786,33462024
3,Annamayya,0,0,0,0,2316686,14730,2304786,33462024
4,Bapatla,0,0,0,0,2316686,14730,2304786,33462024
5,Chittoor,272394,0,0,0,2316686,14730,2304786,33462024
6,East Godavari,316586,0,0,0,2316686,14730,2304786,33462024
7,Eluru,0,0,0,0,2316686,14730,2304786,33462024
8,Guntur,203244,0,0,0,2316686,14730,2304786,33462024
9,Kakinada,0,0,0,0,2316686,14730,2304786,33462024
10,Konaseema,0,0,0,0,2316686,14730,2304786,33462024
11,Krishna,136896,0,0,0,2316686,14730,2304786,33462024
12,Kurnool,144244,0,0,0,2316686,14730,2304786,33462024
13,Nandyal,0,0,0,0,2316686,14730,2304786,33462024
14,NTR District,0,0,0,0,2316686,14730,2304786,33462024
15,Palnadu,0,0,0,0,2316686,14730,2304786,33462024
16,Parvathipuram Manyam,0,0,0,0,2316686,14730,2304786,33462024
17,Prakasam,155937,0,0,0,2316686,14730,2304786,33462024
18,S.P.S. Nellore,164374,0,0,0,2316686,14730,2304786,33462024
19,Sri Sathya Sai,1,0,0,0,2316686,14730,2304786,33462024
20,Srikakulam,133953,0,0,0,2316686,14730,2304786,33462024
21,Tirupati,1,0,0,0,2316686,14730,2304786,33462024
22,Visakhapatnam,190938,0,0,0,2316686,14730,2304786,33462024
23,Vizianagaram,92241,0,0,0,2316686,14730,2304786,33462024
24,West Godavari,193378,0,0,0,2316686,14730,2304786,33462024
25,Y.S.R. Kadapa,134888,0,0,0,2316686,14730,2304786,33462024
