,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
800,2022-06-07,KL,Kasaragod,,,,166705,1391,165258,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
799,2022-06-07,KL,Kannur,,,,349430,4425,344941,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
750,2022-06-07,KL,Wayanad,,,,168501,974,167462,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
778,2022-06-07,KL,Kozhikode,,,,675197,6342,667911,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
785,2022-06-07,KL,Malappuram,,,,647512,6435,640900,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
771,2022-06-07,KL,Palakkad,,,,450256,5802,443995,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
768,2022-06-07,KL,Thrissur,,,,671989,7450,664117,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
767,2022-06-07,KL,Ernakulam,,,,894415,8259,882639,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
752,2022-06-07,KL,Idukki,,,,210091,1512,208245,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
758,2022-06-07,KL,Kottayam,,,,452504,4526,446817,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
757,2022-06-07,KL,Alappuzha,,,,391148,5249,385519,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
766,2022-06-07,KL,Pathanamthitta,,,,268411,2516,265356,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
769,2022-06-07,KL,Kollam,,,,511947,6512,505209,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
765,2022-06-07,KL,Thiruvananthapuram,,,,710952,8414,700482,,2022-06-18T18:45:19.669785+05:30,,,,6569058,69807,6488851,47595764,0,0
