,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,0,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Ahmedabad,15,0,18,11358,4240,21894,103,71.0,0.0,86.0,59842.0,31116.0,181653.0,7208200,2021-12-03 23:55:35.302946,,,238645,3411,235130,5528251,6092900,4358770,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
1,1,1,1,1,1,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Amreli,0,0,0,1206,769,9096,0,0.0,0.0,0.0,6907.0,5999.0,54011.0,1513614,2021-12-03 23:55:35.302946,,,10811,102,10709,620656,959134,807026,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
2,2,2,2,2,2,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Anand,3,0,0,1657,453,9541,3,6.0,1.0,2.0,11295.0,2952.0,75964.0,2090276,2021-12-03 23:55:35.302946,,,9649,50,9592,589179,1515107,1385597,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
3,3,3,3,3,3,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Aravalli,0,0,0,853,161,6973,0,0.0,0.0,0.0,5053.0,861.0,38477.0,1051746,2021-12-03 23:55:35.302946,,,5187,78,5108,379271,722069,672998,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
4,4,4,4,4,4,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Banaskantha,0,0,0,3216,1205,22495,1,0.0,0.0,0.0,17555.0,7483.0,153954.0,3116045,2021-12-03 23:55:35.302946,,,13632,162,13470,904987,2175111,1965081,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
5,5,5,5,5,5,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Bharuch,0,0,0,1106,911,4409,2,12.0,0.0,2.0,7050.0,17880.0,70991.0,1550822,2021-12-03 23:55:35.302946,,,11443,118,11312,546167,1270902,928332,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
6,6,6,6,6,6,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Bhavnagar,1,0,0,2537,2109,18799,1,10.0,0.0,0.0,13369.0,13768.0,119606.0,2877961,2021-12-03 23:55:35.302946,,,21463,301,21150,1245075,1753560,1392781,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
7,7,7,7,7,7,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Botad,0,0,0,503,249,4287,0,0.0,0.0,0.0,3319.0,1293.0,17500.0,656005,2021-12-03 23:55:35.302946,,,2218,42,2176,265262,385790,324068,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
8,8,8,8,8,8,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Chhota Udaipur,0,0,0,891,751,3401,0,0.0,0.0,0.0,5840.0,2158.0,31296.0,1071831,2021-12-03 23:55:35.302946,,,3395,38,3357,292436,640768,569783,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
9,9,9,9,9,9,2021-12-03,GJ,45,0,45,70137,41590,338551,261,261.0,2.0,249.0,430428.0,285203.0,2531626.0,Dahod,0,0,0,1634,222,12538,0,0.0,0.0,0.0,10887.0,1520.0,186645.0,2126558,2021-12-03 23:55:35.302946,,,9955,38,9917,751320,1504721,1253355,2021-12-03 23:55:35.302137,67936000,2021-12-03 23:55:35.303376,,,827453,10091,817044,32689043,45944986,36375683,0,0,0,0,0
