"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35180","0","34842","5","0","333","0"
"2","Ballari","0","97767","2","95974","107","0","1686","0"
"3","Belagavi","2","79922","0","78907","75","1","940","0"
"4","Bengaluru Rural","0","62018","4","61096","33","0","889","0"
"5","Bengaluru Urban","151","1252831","150","1230170","6365","2","16295","1"
"6","Bidar","0","24342","0","23936","1","0","401","4"
"7","Chamarajanagara","0","33004","0","32482","9","0","502","11"
"8","Chikkaballapura","2","43959","0","43511","16","0","431","1"
"9","Chikkamagaluru","3","51140","6","50695","49","0","396","0"
"10","Chitradurga","0","36679","2","36434","39","0","206","0"
"11","Dakshina 
Kannada","11","115572","33","113728","157","0","1680","7"
"12","Davanagere","1","50992","3","50368","16","0","608","0"
"13","Dharwada","6","60990","0","59648","23","0","1317","2"
"14","Gadag","0","26066","0","25747","0","0","319","0"
"15","Hassana","12","111834","22","110443","133","0","1256","2"
"16","Haveri","0","21947","0","21301","3","0","643","0"
"17","Kalaburagi","0","61931","0","61099","12","0","820","0"
"18","Kodagu","4","37134","30","36702","102","0","329","1"
"19","Kolara","2","46933","0","46242","56","0","635","0"
"20","Koppala","0","35198","0","34661","15","0","522","0"
"21","Mandya","5","73793","8","73067","72","0","654","0"
"22","Mysuru","17","179297","36","176668","214","2","2415","0"
"23","Raichuru","0","39975","0","39642","1","0","332","0"
"24","Ramanagara","0","24206","0","23873","13","0","320","0"
"25","Shivamogga","2","69459","0","68269","100","0","1090","0"
"26","Tumakuru","4","120891","16","119524","236","0","1131","0"
"27","Udupi","5","76767","4","76228","52","0","487","0"
"28","Uttara Kannada","12","56273","6","55416","86","0","771","0"
"29","Vijayapura","0","36271","0","35765","11","0","495","0"
"30","Yadagiri","0","27545","0","27338","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","239","2989952","322","2943809","8002","5","38112","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 07-11-2021 
 Page 5 of 8","","","","","","","","",""
