"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,598"
"2","Number of persons tested positive today in Tamil Nadu","1,139"
"","Passengers returned from other states  by Domestic 
airport/Road tested positive today","Delhi-1 
West Bengal-1"
"","Total","1,141"
"3","Total Number of persons tested positive till date","35,50,547"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,496/ 
6,82,92,807@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","28,986/ 
6,70,87,162"
"6","No. of Male / Female / Transgender tested positive today","686/455/0"
"7","No. of Male / Female / Transgender tested positive till date","20,70,297/14,80,212/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","346 (77 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,530/ 
35,01,916"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
