"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
16-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","13","181573","180571[12]","99.45","923","79","3604","9893","3713969"
"2","Faridabad","0","99917","99194[2]","99.28","716","7","2808","7535","2603576"
"3","Hisar","0","53996","52859","97.89","1136","1","972","3851","1371496"
"4","Sonepat","0","47139","46885","99.46","254","0","1607","4498","1464353"
"5","Karnal","1","40040","39486","98.62","552","2","2377","4403","1512681"
"6","Panipat","0","31153","30512","97.94","638","3","2683","4227","1166905"
"7","Panchkula","0","30788","30397[1]","98.73","379","12","813","2821","768973"
"8","Ambala","0","30150","29641","98.31","509","0","999","4669","1504413"
"9","Sirsa","0","29282","28774","98.27","508","0","1664","5255","1117999"
"10","Rohtak","0","25913","25352","97.84","534","10","1205","2359","1034165"
"11","Yamunanagar","0","24635","24220[1]","98.32","414","1","507","3015","1207134"
"12","Bhiwani","0","22409","21757","97.09","652","0","751","5735","1131994"
"13","Kurukshetra","1","22151","21791","98.37","357","3","871","3341","889484"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1046","3229","883165"
"15","Jind","0","21209","20676","97.49","533","0","1531","2818","1009866"
"16","Rewari","0","20329","20107","98.91","221","1","1147","3282","982547"
"17","Jhajjar","0","18849","18515","98.23","328","0","823","3802","1037300"
"18","Fatehabad","0","17877","17394","97.30","481","2","487","1908","800882"
"19","Kaithal","0","11246","10898","96.91","346","2","1145","5295","876829"
"20","Palwal","0","11026","10873","98.61","153","0","1324","2456","879754"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","170","988","645416"
"22","Nuh","0","5014","4891","97.55","123","0","9694","1937","481832"
"Total","","15","771463","761266[16]","98.68","10051","123","38228","87317","27084733"
