"S. No","Subject","Number"
"1","Total Number of people vaccinated on 22nd Nov","1,44,699"
"2","First Dose on 22nd Nov","88,496"
"3","Second Dose on 22nd Nov","56,203"
"4","Cumulative Vaccination till 22nd Nov","8,73,52,360"
"5","Cumulative Vaccination First Dose","6,14,01,734"
"6","Cumulative Vaccination Second Dose","2,59,50,626"
"7","Number of CVC (Common Vaccination Centres)","1,300"
"8","Cumulative AEFI cases reported","5,580"
"9","Vaccine wastage","-7%"
